Rhea americana;ema
Conopias parvus;bem-te-vi-da-copa
Myiodynastes luteiventris;bem-te-vi-de-barriga-sulfúrea
Myiodynastes maculatus;bem-te-vi-rajado
Megarynchus pitangua;neinei
Tyrannopsis sulphurea;suiriri-de-garganta-rajada
Empidonomus varius;peitica
Griseotyrannus aurantioatrocristatus;peitica-de-chapéu-preto
Tyrannus albogularis;suiriri-de-garganta-branca
Tyrannus melancholicus;suiriri
Tyrannus savana;tesourinha
Tyrannus tyrannus;suiriri-valente
Rhytipterna simplex;vissiá
Rhytipterna immunda;vissiá-cantor
Sirystes sibilator;gritador
Casiornis rufus;caneleiro
Casiornis fuscus;caneleiro-enxofre
Myiarchus tuberculifer;maria-cavaleira-pequena
Myiarchus swainsoni;irré
Myiarchus ferox;maria-cavaleira
Myiarchus tyrannulus;maria-cavaleira-de-rabo-enferrujado
Ramphotrigon megacephalum;maria-cabeçuda
Ramphotrigon ruficauda;bico-chato-de-rabo-vermelho
Ramphotrigon fuscicauda;maria-de-cauda-escura
Attila phoenicurus;capitão-castanho
Attila cinnamomeus;tinguaçu-ferrugem
Attila citriniventris;tinguaçu-de-barriga-amarela
Attila bolivianus;bate-pára
Attila rufus;capitão-de-saíra
Attila spadiceus;capitão-de-saíra-amarelo
Oxyruncus cristatus;araponga-do-horto
Phytotoma rutila;corta-ramos
Rupicola rupicola;galo-da-serra
Phoenicircus carnifex;saurá
Phoenicircus nigricollis;saurá-de-pescoço-preto
Phibalura flavirostris;tesourinha-da-mata
Carpornis cucullata;corocochó
Carpornis melanocephala;sabiá-pimenta
Cotinga maynana;cotinga-azul
Cotinga cotinga;anambé-de-peito-roxo
Cotinga maculata;crejoá
Cotinga cayana;anambé-azul
Procnias albus;araponga-da-amazônia
Procnias averano;araponga-do-nordeste
Procnias nudicollis;araponga
Tijuca atra;saudade
Tijuca condita;saudade-de-asa-cinza
Calyptura cristata;tietê-de-coroa
Lipaugus vociferans;cricrió
Lipaugus lanioides;tropeiro-da-serra
Lipaugus streptophorus;cricrió-de-cinta-vermelha
Conioptilon mcilhennyi;anambé-de-cara-preta
Porphyrolaema porphyrolaema;cotinga-de-garganta-encarnada
Xipholena punicea;anambé-pompadora
Xipholena lamellipennis;anambé-de-rabo-branco
Xipholena atropurpurea;anambé-de-asa-branca
Gymnoderus foetidus;anambé-pombo
Querula purpurata;anambé-uma
Haematoderus militaris;anambé-militar
Pyroderus scutatus;pavó
Perissocephalus tricolor;maú
Cephalopterus ornatus;anambé-preto
Neopelma pallescens;fruxu-do-cerradão
Neopelma chrysocephalum;fruxu-do-carrasco
Neopelma aurifrons;fruxu-baiano
Neopelma chrysolophum;fruxu
Neopelma sulphureiventer;fruxu-de-barriga-amarela
Tyranneutes stolzmanni;uirapuruzinho
Tyranneutes virescens;uirapuruzinho-do-norte
Piprites chloris;papinho-amarelo
Piprites pileata;caneleirinho-de-chapéu-preto
Ilicura militaris;tangarazinho
Corapipo gutturalis;dançarino-de-garganta-branca
Machaeropterus regulus;tangará-rajado
Machaeropterus striolatus;tangará-riscado
Machaeropterus pyrocephalus;uirapuru-cigarra
Lepidothrix coronata;uirapuru-de-chapéu-azul
Lepidothrix nattereri;uirapuru-de-chapéu-branco
Lepidothrix vilasboasi;dançador-de-coroa-dourada
Lepidothrix iris;cabeça-de-prata
Lepidothrix serena;uirapuru-estrela
Lepidothrix suavissima;dançador-do-tepui
Manacus manacus;rendeira
Antilophia bokermanni;soldadinho-do-araripe
Antilophia galeata;soldadinho
Chiroxiphia pareola;tangará-falso
Chiroxiphia caudata;tangará
Xenopipo uniformis;dançarino-oliváceo
Xenopipo atronitens;pretinho
Heterocercus flavivertex;dançarino-de-crista-amarela
Heterocercus linteatus;coroa-de-fogo
Dixiphia pipra;cabeça-branca
Pipra aureola;uirapuru-vermelho
Pipra filicauda;rabo-de-arame
Pipra fasciicauda;uirapuru-laranja
Pipra cornuta;dançador-de-crista
Pipra erythrocephala;cabeça-de-ouro
Pipra rubrocapilla;cabeça-encarnada
Pipra chloromeros;dançador-de-cauda-graduada
Schiffornis major;flautim-ruivo
Schiffornis turdina;flautim-marrom
Schiffornis virescens;flautim
Laniocera hypopyrra;chorona-cinza
Laniisoma elegans;chibante
Iodopleura isabellae;anambé-de-coroa
Iodopleura fusca;anambé-fusco
Iodopleura pipra;anambezinho
Tityra inquisitor;anambé-branco-de-bochecha-parda
Tityra cayana;anambé-branco-de-rabo-preto
Tityra semifasciata;anambé-branco-de-máscara-negra
Pachyramphus viridis;caneleiro-verde
Pachyramphus rufus;caneleiro-cinzento
Pachyramphus castaneus;caneleiro
Pachyramphus polychopterus;caneleiro-preto
Pachyramphus marginatus;caneleiro-bordado
Pachyramphus surinamus;caneleiro-da-guiana
Pachyramphus minor;caneleiro-pequeno
Pachyramphus validus;caneleiro-de-chapéu-preto
Xenopsaris albinucha;tijerila
Cyclarhis gujanensis;pitiguari
Vireolanius leucotis;assobiador-do-castanhal
Vireo olivaceus;juruviara
Vireo gracilirostris;juruviara-de-noronha
Vireo flavoviridis;juruviara-verde-amarelada
Vireo altiloquus;juruviara-barbuda
Hylophilus poicilotis;verdinho-coroado
Hylophilus amaurocephalus;vite-vite-de-olho-cinza
Hylophilus thoracicus;vite-vite
Hylophilus semicinereus;verdinho-da-várzea
Hylophilus pectoralis;vite-vite-de-cabeça-cinza
Hylophilus sclateri;vite-vite-do-tepui
Hylophilus brunneiceps;vite-vite-de-cabeça-marrom
Hylophilus hypoxanthus;vite-vite-de-barriga-marela
Hylophilus muscicapinus;vite-vite-camurça
Hylophilus ochraceiceps;vite-vite-uirapuru
Cyanocorax violaceus;gralha-violácea
Cyanocorax cyanomelas;gralha-do-pantanal
Cyanocorax caeruleus;gralha-azul
Cyanocorax cristatellus;gralha-do-campo
Cyanocorax cayanus;gralha-da-guiana
Cyanocorax heilprini;gralha-de-nuca-azul
Cyanocorax chrysops;gralha-picaça
Cyanocorax cyanopogon;gralha-cancã
Tachycineta albiventer;andorinha-do-rio
Tachycineta leucorrhoa;andorinha-de-sobre-branco
Tachycineta meyeni;andorinha-chilena
Progne tapera;andorinha-do-campo
Progne subis;andorinha-azul
Progne chalybea;andorinha-doméstica-grande
Progne elegans;andorinha-do-sul
Pygochelidon cyanoleuca;andorinha-pequena-de-casa
Atticora fasciata;peitoril
Atticora melanoleuca;andoriha-de-coleira
Neochelidon tibialis;calcinha-branca
Alopochelidon fucata;andorinha-morena
Stelgidopteryx ruficollis;andorinha-serradora
Riparia riparia;andorinha-do-barranco
Hirundo rustica;andorinha-de-bando
Petrochelidon pyrrhonota;andorinha-de-dorso-acanelado
Campylorhynchus griseus;garrincha-dos-lhanos
Campylorhynchus turdinus;catatau
Odontorchilus cinereus;cambaxirra-cinzenta
Cistothorus platensis;corruíra-do-campo
Thryothorus genibarbis;garrinchão-pai-avô
Thryothorus coraya;garrinchão-coraia
Thryothorus leucotis;garrinchão-de-barriga-vermelha
Thryothorus guarayanus;garrincha-do-oeste
Thryothorus longirostris;garrinchão-de-bico-grande
Thryothorus griseus;garrincha-cinza
Troglodytes musculus;corruíra
Troglodytes rufulus;corruíra-do-tepui
Henicorhina leucosticta;uirapuru-de-peito-branco
Microcerculus marginatus;uirapuru-veado
Microcerculus ustulatus;flautista-do-tepui
Microcerculus bambla;uirapuru-de-asa-branca
Cyphorhinus arada;uirapuru-verdadeiro
Donacobius atricapilla;japacanim
Microbates collaris;bico-assovelado-de-coleira
Ramphocaenus melanurus;bico-assovelado
Polioptila plumbea;balança-rabo-de-chapéu-preto
Polioptila lactea;balança-rabo-leitoso
Polioptila guianensis;balança-rabo-da-copa
Polioptila dumicola;balança-rabo-de-máscara
Cichlopsis leucogenys;sabiá-castanho
Catharus fuscescens;sabiá-norte-americano
Catharus minimus;sabiá-de-cara-cinza
Catharus ustulatus;sabiá-de-óculos
Platycichla flavipes;sabiá-una
Platycichla leucops;sabiá-preto
Turdus subalaris;sabiá-ferreiro
Turdus olivater;sabiá-de-cabeça-preta
Turdus rufiventris;sabiá-laranjeira
Turdus leucomelas;sabiá-barranco
Turdus amaurochalinus;sabiá-poca
Turdus ignobilis;caraxué-de-bico-preto
Turdus lawrencii;caraxué-de-bico-amarelo
Turdus fumigatus;sabiá-da-mata
Turdus hauxwelli;sabiá-bicolor
Turdus nudigenis;caraxué
Turdus albicollis;sabiá-coleira
Mimus gilvus;sabiá-da-praia
Mimus saturninus;sabiá-do-campo
Mimus triurus;calhandra-de-três-rabos
Anthus lutescens;caminheiro-zumbidor
Anthus furcatus;caminheiro-de-unha-curta
Anthus correndera;caminheiro-de-espora
Anthus nattereri;caminheiro-grande
Anthus hellmayri;caminheiro-de-barriga-acanelada
Coereba flaveola;cambacica
Orchesticus abeillei;sanhaçu-pardo
Schistochlamys melanopis;sanhaçu-de-coleira
Schistochlamys ruficapillus;bico-de-veludo
Cissopis leverianus;tietinga
Conothraupis speculigera;tiê-preto-e-branco
Conothraupis mesoleuca;tiê-bicudo
Lamprospiza melanoleuca;pipira-de-bico-vermelho
Compsothraupis loricata;carretão
Nemosia pileata;saíra-de-chapéu-preto
Nemosia rourei;saíra-apunhalada
Mitrospingus oleagineus;pipira-olivácea
Orthogonys chloricterus;catirumbava
Thlypopsis sordida;saí-canário
Pyrrhocoma ruficeps;cabecinha-castanha
Cypsnagra hirundinacea;bandoleta
Trichothraupis melanops;tiê-de-topete
Piranga flava;sanhaçu-de-fogo
Piranga rubra;sanhaçu-vermelho
Piranga olivacea;sanhaçu-escarlate
Piranga leucoptera;sanhaçu-de-asa-branca
Habia rubica;tiê-do-mato-grosso
Eucometis penicillata;pipira-da-taoca
Tachyphonus cristatus;tiê-galo
Tachyphonus nattereri;pipira-de-natterer
Tachyphonus rufiventer;tem-tem-de-crista-amarela
Tachyphonus surinamus;tem-tem-de-topete-ferrugíneo
Tachyphonus luctuosus;tem-tem-de-dragona-branca
Tachyphonus coronatus;tiê-preto
Tachyphonus rufus;pipira-preta
Tachyphonus phoenicius;tem-tem-de-dragona-vermelha
Lanio fulvus;pipira-parda
Lanio versicolor;pipira-de-asa-branca
Ramphocelus nigrogularis;pipira-de-máscara
Ramphocelus carbo;pipira-vermelha
Ramphocelus bresilius;tiê-sangue
Thraupis episcopus;sanhaçu-da-amazônia
Thraupis sayaca;sanhaçu-cinzento
Thraupis cyanoptera;sanhaçu-de-encontro-azul
Thraupis ornata;sanhaçu-de-encontro-amarelo
Thraupis palmarum;sanhaçu-do-coqueiro
Thraupis bonariensis;sanhaçu-papa-laranja
Cyanicterus cyanicterus;pipira-azul
Stephanophorus diadematus;sanhaçu-frade
Pipraeidea melanonota;saíra-viúva
Neothraupis fasciata;cigarra-do-campo
Tangara mexicana;saíra-de-bando
Tangara brasiliensis;cambada-de-chaves
Tangara chilensis;sete-cores-da-amazônia
Tangara fastuosa;pintor-verdadeiro
Tangara seledon;saíra-sete-cores
Tangara cyanocephala;saíra-militar
Tangara desmaresti;saíra-lagarta
Tangara cyanoventris;saíra-douradinha
Tangara schrankii;saíra-ouro
Tangara xanthogastra;saíra-de-barriga-amarela
Tangara punctata;saíra-negaça
Tangara guttata;saíra-pintada
Tangara varia;saíra-carijó
Tangara gyrola;saíra-de-cabeça-castanha
Tangara cayana;saíra-amarela
Tangara peruviana;saíra-sapucaia
Tangara preciosa;saíra-preciosa
Tangara cyanicollis;saíra-de-cabeça-azul
Tangara nigrocincta;saíra-mascarada
Tangara cyanoptera;saíra-de-cabeça-preta
Tangara velia;saíra-diamante
Tangara callophrys;saíra-opala
Tersina viridis;saí-andorinha
Dacnis albiventris;saí-de-barriga-branca
Dacnis lineata;saí-de-máscara-preta
Dacnis flaviventer;saí-amarela
Dacnis nigripes;saí-de-pernas-pretas
Dacnis cayana;saí-azul
Cyanerpes nitidus;saí-de-bico-curto
Cyanerpes caeruleus;saí-de-perna-amarela
Cyanerpes cyaneus;saíra-beija-flor
Chlorophanes spiza;saí-verde
Hemithraupis guira;saíra-de-papo-preto
Hemithraupis ruficapilla;saíra-ferrugem
Hemithraupis flavicollis;saíra-galega
Conirostrum speciosum;figuinha-de-rabo-castanho
Conirostrum bicolor;figuinha-do-mangue
Conirostrum margaritae;figuinha-amazônica
Diglossa duidae;fura-flor-escamado
Diglossa major;fura-flor-grande
Zonotrichia capensis;tico-tico
Ammodramus humeralis;tico-tico-do-campo
Ammodramus aurifrons;cigarrinha-do-campo
Porphyrospiza caerulescens;campainha-azul
Phrygilus fruticeti;canário-andino-negro
Diuca diuca;diuca
Haplospiza unicolor;cigarra-bambu
Donacospiza albifrons;tico-tico-do-banhado
Poospiza thoracica;peito-pinhão
Poospiza nigrorufa;quem-te-vestiu
Poospiza lateralis;quete
Poospiza melanoleuca;capacetinho
Poospiza cinerea;capacetinho-do-oco-do-pau
Sicalis citrina;canário-rasteiro
Sicalis columbiana;canário-do-amazonas
Sicalis flaveola;canário-da-terra-verdadeiro
Sicalis luteola;tipio
Emberizoides herbicola;canário-do-campo
Emberizoides ypiranganus;canário-do-brejo
Embernagra platensis;sabiá-do-banhado
Embernagra longicauda;rabo-mole-da-serra
Volatinia jacarina;tiziu
Sporophila frontalis;pixoxó
Sporophila falcirostris;cigarra-verdadeira
Sporophila schistacea;cigarrinha-do-norte
Sporophila intermedia;papa-capim-cinza
Sporophila plumbea;patativa
Sporophila americana;coleiro-do-norte
Sporophila murallae;papa-capim-de-caquetá
Sporophila collaris;coleiro-do-brejo
Sporophila bouvronides;estrela-do-norte
Sporophila lineola;bigodinho
Sporophila luctuosa;papa-capim-preto-e-branco
Sporophila nigricollis;baiano
Sporophila ardesiaca;papa-capim-de-costas-cinzas
Sporophila melanops;papa-capim-do-bananal
Sporophila caerulescens;coleirinho
Sporophila albogularis;golinho
Sporophila leucoptera;chorão
Sporophila nigrorufa;caboclinho-do-sertão
Sporophila bouvreuil;caboclinho
Sporophila minuta;caboclinho-lindo
Sporophila hypoxantha;caboclinho-de-barriga-vermelha
Sporophila ruficollis;caboclinho-de-papo-escuro
Sporophila palustris;caboclinho-de-papo-branco
Sporophila castaneiventris;caboclinho-de-peito-castanho
Sporophila hypochroma;caboclinho-de-sobre-ferrugem
Sporophila cinnamomea;caboclinho-de-chapéu-cinzento
Sporophila melanogaster;caboclinho-de-barriga-preta
Sporophila angolensis;curió
Sporophila crassirostris;bicudinho
Sporophila maximiliani;bicudo
Amaurospiza moesta;negrinho-do-mato
Dolospingus fringilloides;papa-capim-de-coleira
Catamenia homochroa;patativa-da-amazônia
Tiaris obscurus;cigarra-parda
Tiaris fuliginosus;cigarra-do-coqueiro
Arremonops conirostris;tico-tico-cantor
Arremon taciturnus;tico-tico-de-bico-preto
Arremon semitorquatus;tico-tico-do-mato
Arremon franciscanus;tico-tico-do-são-francisco
Arremon flavirostris;tico-tico-de-bico-amarelo
Atlapetes personatus;tico-tico-do-tepui
Charitospiza eucosma;mineirinho
Coryphaspiza melanotis;tico-tico-de-máscara-negra
Coryphospingus pileatus;tico-tico-rei-cinza
Coryphospingus cucullatus;tico-tico-rei
Gubernatrix cristata;cardeal-amarelo
Paroaria coronata;cardeal
Paroaria dominicana;cardeal-do-nordeste
Paroaria gularis;cardeal-da-amazônia
Paroaria baeri;cardeal-de-goiás
Paroaria capitata;cavalaria
Pheucticus aureoventris;rei-do-bosque
Caryothraustes canadensis;furriel
Parkerthraustes humeralis;furriel-de-encontro
Periporphyrus erythromelas;bicudo-encarnado
Saltator grossus;bico-encarnado
Saltator fuliginosus;pimentão
Saltator maximus;tempera-viola
Saltator coerulescens;sabiá-gongá
Saltator similis;trinca-ferro-verdadeiro
Saltator maxillosus;bico-grosso
Saltator aurantiirostris;bico-duro
Saltator atricollis;bico-de-pimenta
Cyanoloxia glaucocaerulea;azulinho
Cyanocompsa cyanoides;azulão-da-amazônia
Cyanocompsa brissonii;azulão
Spiza americana;papa-capim-americano
Parula pitiayumi;mariquita
Dendroica petechia;mariquita-amarela
Dendroica striata;mariquita-de-perna-clara
Dendroica fusca;mariquita-papo-de-fogo
Setophaga ruticilla;mariquita-de-rabo-vermelho
Seiurus noveboracensis;mariquita-boreal
Oporornis agilis;mariquita-de-connecticut
Geothlypis aequinoctialis;pia-cobra
Myioborus miniatus;mariquita-cinza
Myioborus castaneocapillus;mariquita-de-cabeça-parda
Basileuterus bivittatus;pula-pula-de-duas-fitas
Basileuterus culicivorus;pula-pula
Basileuterus hypoleucus;pula-pula-de-barriga-branca
Basileuterus flaveolus;canário-do-mato
Basileuterus leucoblepharus;pula-pula-assobiador
Basileuterus leucophrys;pula-pula-de-sobrancelha
Phaeothlypis fulvicauda;pula-pula-de-cauda-avermelhada
Phaeothlypis rivularis;pula-pula-ribeirinho
Granatellus pelzelni;polícia-do-mato
Psarocolius angustifrons;japu-pardo
Psarocolius viridis;japu-verde
Psarocolius decumanus;japu
Psarocolius bifasciatus;japuaçu
Clypicterus oseryi;japu-de-capacete
Ocyalus latirostris;japu-de-rabo-verde
Cacicus solitarius;iraúna-de-bico-branco
Cacicus cela;xexéu
Cacicus haemorrhous;guaxe
Cacicus chrysopterus;tecelão
Icterus cayanensis;encontro
Icterus chrysocephalus;rouxinol-do-rio-negro
Icterus nigrogularis;joão-pinto-amarelo
Icterus jamacaii;corrupião
Icterus croconotus;joão-pinto
Macroagelaius imthurni;iraúna-da-guiana
Gymnomystax mexicanus;iratauá-grande
Lampropsar tanagrinus;iraúna-velada
Gnorimopsar chopi;graúna
Curaeus forbesi;anumará
Amblyramphus holosericeus;cardeal-do-banhado
Agelasticus cyanopus;carretão
Agelasticus thilius;sargento
Chrysomus ruficapillus;garibaldi
Chrysomus icterocephalus;iratauá-pequeno
Xanthopsar flavus;veste-amarela
Pseudoleistes guirahuro;chopim-do-brejo
Pseudoleistes virescens;dragão
Agelaioides badius;asa-de-telha
Agelaioides fringillarius;asa-de-telha-pálido
Molothrus rufoaxillaris;vira-bosta-picumã
Molothrus oryzivorus;iraúna-grande
Molothrus bonariensis;vira-bosta
Quiscalus lugubris;iraúna-do-norte
Sturnella militaris;polícia-inglesa-do-norte
Sturnella superciliaris;polícia-inglesa-do-sul
Sturnella defilippii;peito-vermelho-grande
Sturnella magna;pedro-ceroulo
Dolichonyx oryzivorus;triste-pia
Carduelis carduelis;pintassilgo-europeu
Carduelis yarrellii;pintassilgo-do-nordeste
Carduelis magellanica;pintassilgo
Euphonia plumbea;gaturamo-anão
Euphonia chlorotica;fim-fim
Euphonia finschi;gaturamo-capim
Euphonia violacea;gaturamo-verdadeiro
Euphonia laniirostris;gaturamo-de-bico-grosso
Euphonia chalybea;cais-cais
Euphonia cyanocephala;gaturamo-rei
Euphonia chrysopasta;gaturamo-verde
Euphonia minuta;gaturamo-de-barriga-branca
Euphonia xanthogaster;fim-fim-grande
Euphonia rufiventris;gaturamo-do-norte
Euphonia cayennensis;gaturamo-preto
Euphonia pectoralis;ferro-velho
Chlorophonia cyanea;bandeirinha
Estrilda astrild;bico-de-lacre
Passer domesticus;pardal
