Rhea americana;ema
Eudyptes chrysocome;pingüim-de-penacho-amarelo
Eudyptes chrysolophus;pingüim-de-testa-amarela
Spheniscus magellanicus;pingüim-de-magalhães
Phoebetria fusca;piau-preto
Phoebetria palpebrata;piau-de-costas-claras
Thalassarche chlororhynchos;albatroz-de-nariz-amarelo
Thalassarche melanophris;albatroz-de-sobrancelha
Thalassarche chrysostoma;albatroz-de-cabeça-cinza
Thalassarche cauta;albatroz-arisco
Diomedea epomophora;albatroz-real
Diomedea sanfordi;albatroz-real-do-norte
Diomedea exulans;albatroz-gigante
Diomedea dabbenena;albatroz-de-tristão
Macronectes giganteus;petrel-gigante
Macronectes halli;petrel-gigante-do-norte
Fulmarus glacialoides;pardelão-prateado
Daption capense;pomba-do-cabo
Lugensa brevirostris;grazina-de-bico-curto
Pterodroma neglecta;petrel-de-kermadec
Pterodroma macroptera;fura-buxo-de-cara-cinza
Pterodroma mollis;grazina-mole
Pterodroma incerta;grazina-de-barriga-branca
Pterodroma lessonii;grazina-de-cabeça-branca
Pterodroma arminjoniana;grazina-de-trindade
Halobaena caerulea;petrel-azul
Pachyptila vittata;faigão-de-bico-largo
Pachyptila desolata;faigão-rola
Pachyptila belcheri;faigão-de-bico-fino
Procellaria cinerea;pardela-cinza
Procellaria aequinoctialis;pardela-preta
Procellaria conspicillata;pardela-de-óculos
Calonectris diomedea;bobo-grande
Calonectris edwardsii;bobo-de-cabo-verde
Puffinus griseus;bobo-escuro
Puffinus gravis;bobo-grande-de-sobre-branco
Puffinus puffinus;bobo-pequeno
Puffinus lherminieri;pardela-de-asa-larga
Fregetta grallaria;painho-de-barriga-branca
Fregetta tropica;painho-de-barriga-preta
Oceanites oceanicus;alma-de-mestre
Pelagodroma marina;painho-de-ventre-branco
Oceanodroma leucorhoa;painho-de-cauda-furcada
Pelecanoides magellani;petrel-mergulhador-de-magalhães
Phaethon aethereus;rabo-de-palha-de-bico-vermelho
Phaethon rubricauda;rabo-de-palha-de-cauda-vermelha
